Titles,Company,Experience,Salary,Location
sales collection executive ,Adithya it Solution Pvt Ltd,Fresher,19000,Salem
tele calling ,GNR Solutions Pvt Ltd,3 Years,20000,Pune
front desk associate ,GNR Solutions Pvt Ltd,2 Years,20000,Pune
walk-in interview female - hiring for academic telecaller in salem ,Adithya it Solution Pvt Ltd,Fresher,9000,Salem
assistant branch manager - male ,Adithya it Solution Pvt Ltd,Fresher,20000,Salem
relationship manager - rm ,Adithya it Solution Pvt Ltd,Fresher,20000,Salem
post office male in salem ,Adithya it Solution Pvt Ltd,Fresher,28000,Salem
banking sales executive ,Adithya it Solution Pvt Ltd,Fresher,18000,Salem
system supervisor ,Adithya it Solution Pvt Ltd,Fresher,15000,Salem
assistant branch manager - male ,Adithya it Solution Pvt Ltd,Fresher,20000,Salem
relationship manager - rm ,Adithya it Solution Pvt Ltd,Fresher,20000,Salem
post office male in salem ,Adithya it Solution Pvt Ltd,Fresher,28000,Salem
banking sales executive ,Adithya it Solution Pvt Ltd,Fresher,18000,Salem
system supervisor ,Adithya it Solution Pvt Ltd,Fresher,15000,Salem
full stack trainer ,Adithya it Solution Pvt Ltd,Fresher,25000,Salem
pumb operator ,Adithya it Solution Pvt Ltd,4 Years,20000,Salem
atm supervisor ,Adithya it Solution Pvt Ltd,Fresher,35000,Salem
ims - integrated management systems ,Adithya it Solution Pvt Ltd,Fresher,25000,Salem
artificial intelligence trainer ,Adithya it Solution Pvt Ltd,Fresher,25000,Salem
system engineer ,Adithya it Solution Pvt Ltd,Fresher,22000,Salem
video editor ,Adithya it Solution Pvt Ltd,Fresher,22000,Salem
junior office assistant ,Adithya it Solution Pvt Ltd,Fresher,20000,Salem
field marketing executive ,MD IT info pvt ltd,Fresher,15000,Raipur
business development associate ,Adithya it Solution Pvt Ltd,Fresher,9000,Salem
retail mortgage executive - lap ,Adithya it Solution Pvt Ltd,Fresher,19000,Salem
finance executive ,Adithya it Solution Pvt Ltd,Fresher,15000,Salem
telesales executive ,Adithya it Solution Pvt Ltd,Fresher,12000,Salem
field sales executive ,Adithya it Solution Pvt Ltd,Fresher,17000,Salem
nurse - female ,Adithya it Solution Pvt Ltd,Fresher,40000,Salem
metro ticket issuer ,Adithya it Solution Pvt Ltd,Fresher,25000,Salem
network system administrator ,Adithya it Solution Pvt Ltd,Fresher,18000,Salem
fresher medical billing ,Adithya it Solution Pvt Ltd,Fresher,12000,Salem
airforce helper ,Adithya it Solution Pvt Ltd,Fresher,25000,Salem
two wheeler mechanic ,Adithya it Solution Pvt Ltd,Fresher,19000,Salem
graphic designer ,Adithya it Solution Pvt Ltd,Fresher,20000,Salem
accountant ,Adithya it Solution Pvt Ltd,Fresher,12000,Salem
developer ,Adithya it Solution Pvt Ltd,Fresher,37500,Salem
collection executive ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,15000,Salem
marketing officer ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,17000,Salem
stacking assistant ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,24000,Salem
account executive ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,12000,Salem
assistant branch manager ,ADITHYA IT SOLUTIONS PRIVATE LTD,Fresher,35000,Salem
postman ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,24000,Salem
electrical maintenance ,Adithya it Solution Pvt Ltd,Fresher,18000,Salem
lab technician ,Adithya it Solution Pvt Ltd,Fresher,19000,Salem
sales executive ,ADITHYA IT SOLUTIONS PRIVATE LTD,Fresher,23000,Salem
software trainer ,Adithya IT Solutions Pvt Ltd,Fresher,15000,Salem
python trainer ,ADITHYA IT SOLUTIONS PRIVATE LTD,Fresher,25000,Salem
python developer ,ADITHYA IT SOLUTIONS PRIVATE LTD,Fresher,20000,Salem
team leader ,Adithya it Solution Pvt Ltd,Fresher,15000,Salem
sales officer ,Adithya it Solution Pvt Ltd,Fresher,19000,Salem
angular developer ,ADITHYA IT SOLUTIONS PRIVATE LTD,Fresher,25000,Salem
driver ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,15000,Salem
driver ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,15000,Salem
cashier ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,18000,Salem
branch manager ,ADITHYA IT SOLUTIONS PRIVATE LTD,Fresher,35000,Salem
data scientist ,ADITHYA IT SOLUTIONS PRIVATE LTD,Fresher,25000,Salem
system operator in salem ,Adithya it Solution Pvt Ltd,Fresher,23000,Salem
system admin for hospital ,Adithya it Solution Pvt Ltd,Fresher,22000,Salem
driver lmv ,Adithya it Solution Pvt Ltd,Fresher,18000,Salem
network engineer ,Adithya it Solution Pvt Ltd,Fresher,30000,Salem
bank executive ,Adithya it Solution Pvt Ltd,Fresher,22000,Salem
dental receptionist ,Adithya it Solution Pvt Ltd,Fresher,12000,Salem
key relationship manager ,Adithya it Solution Pvt Ltd,Fresher,20000,Salem
administrative officer ,Adithya it Solution Pvt Ltd,Fresher,20000,Salem
bpo telecaller ,Adithya it Solution Pvt Ltd,Fresher,12000,Salem
collection executive ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,15000,Salem
marketing officer ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,17000,Salem
stacking assistant ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,24000,Salem
account executive ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,12000,Salem
system operator in salem ,Adithya it Solution Pvt Ltd,Fresher,23000,Salem
data science trainer ,Adithya it Solution Pvt Ltd,Fresher,25000,Salem
telecaller ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,10000,Salem
salesperson ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,10000,Salem
telecaller ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,10000,Salem
salesperson ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,10000,Salem
driver ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,18000,Salem
video editor ,ADITHYA IT SOLUTIONS PRIVATE LTD,Fresher,20000,Salem
graphic designer ,ADITHYA IT SOLUTIONS PRIVATE LTD,Fresher,20000,Salem
telemarketing executive ,ADITHYA IT SOLUTIONS PRIVATE LTD,Fresher,12000,Salem
optometrist ,ADITHYA IT SOLUTIONS PRIVATE LTD,Fresher,12000,Salem
graphic designer ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,10000,Salem
relationship manager ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,20000,Salem
office assistant ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,15000,Salem
mern stack developer ,ADITHYA IT SOLUTIONS PRIVATE LTD,Fresher,20000,Salem
hiring marketing executive in salem ,Adithya IT Solution Pvt Ltd Salem,Fresher,10000,Salem
female team leader ,ADITHYA IT SOLUTIONS PRIVATE LTD,Fresher,15000,Salem
immediate walkin drive for software tester in salem ,Adithya IT Solutions Pvt Ltd,Fresher,30000,Salem
hiring for technical support engineer in salem ,Adithya IT Solutions Pvt Ltd,Fresher,30000,Salem
tele caller ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,10000,Salem
team leader ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,25000,Salem
business development associate ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,15000,Salem
interior designer ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,10000,Salem
female accountant ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,20000,Salem
branch relationship officer ,ADITHYA IT SOLUTIONS PRIVATE LTD SALEM,Fresher,15000,Salem
medical biller ,ADITHYA IT SOLUTIONS PRIVATE LTD,Fresher,12000,Salem
python trainer ,Adithya IT Solutions Pvt Ltd,Fresher,25000,Salem
